date	Brasil	Alemanha	Estados Unidos
12/31/2009	291	188	123
06/30/2010	398	124	128
12/31/2010	263	118	54
06/30/2011	224	125	92	
12/31/2011	194	103	187	
06/30/2012	191	247	273
12/31/2012	697	231	321	
