name,value
Difamação,378
Privacidade e segurança,275
Outros,227
Direitos autorais,81
Conteúdo adulto,73
Incitação ao ódio,63
Crítica do governo,55
Violência,55
Falsificação de identidade,55
Segurança nacional,43
Ofensa religiosa,34
Marca registrada,33
Motivo não especificado,29
Intimidação/Assédio,12
Lei Eleitoral,10
Estímulo ao suicídio,7
Abuso de drogas,6
Disputa geográfica,1
